id,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,lwratio,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble,supplier_name,location,is_returnable,supplier_id,created_at,updated_at,deleted_at
1,DA-17B,1315574041,PEAR,0.40,G,VVS1,-,EX,VG,FNT,,,6.49,4.05,2.56,63.3,55,None,GIA,STK to VTK,100%,Not brown,Not green,,-43.00%,524.40,1311.00,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/a132cda0-98cb-4df5-adb7-c4fc7bf7c2fa.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1315574041.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
2,DL-2G,1333303589,PEAR,0.35,D,VVS1,-,VG,VG,NON,,,6.32,3.91,2.43,62.1,63,None,GIA,STK to VTK,100%,Not brown,Not green,,-43.00%,458.85,1311.00,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/f6d88cbf-3ccd-41eb-b00e-9030fca3ac37.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1333303589.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
3,DM1-20B,1333587227,PEAR,0.32,E,I1,-,EX,VG,NON,,,6.22,3.94,2.22,56.4,63,None,GIA,STK to THK,100%,Not brown,Not green,,-37.00%,181.44,567.00,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1333587227.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
4,CH1-24J,2297400542,ROUND,0.35,F,I1,EX,EX,EX,MED,White,,4.57,4.59,2.78,60.7,60,None,GIA,MED to STK,100%,Not brown,Not green,,-45.00%,250.25,715.00,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2297400542.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
5,DM1-20,2334471286,ROUND,3.01,F,I1,EX,EX,EX,NON,,,9.25,9.28,5.76,62.2,58,None,GIA,MED,100%,Not brown,Not green,,-7.00%,20434.89,6789.00,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2334471286.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
6,DQ-2,2337816069,ROUND,2.50,J,SI2,EX,EX,EX,NON,,,8.65,8.7,5.38,62.1,58,None,GIA,MED to STK,100%,Not brown,Not green,,-28.00%,12420.00,4968.00,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2337816069.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
7,DM2-9,2336611053,ROUND,0.50,E,I1,VG,EX,G,NON,,,5.11,5.13,3.06,59.7,61,None,GIA,THN to THK,100%,Not brown,Not green,,-46.00%,540.00,1080.00,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2336611053.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
8,DO-1C,2337587229,PEAR,0.32,D,SI2,-,EX,VG,NON,,,6.42,3.91,2.21,56.6,61,None,GIA,MED to VTK,100%,Not brown,Not green,,-28.00%,345.60,1080.00,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/f8f73842-b1c3-4975-8476-cefd0b787379.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2337587229.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
9,DM1-10I,3335587220,PEAR,0.33,E,I1,-,VG,G,NON,,,5.9,3.89,2.43,62.3,61,None,GIA,STK to VTK,100%,Not brown,Not green,,37.18%,407.42,1234.61,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/3335587220.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
10,DM1-23J,6331380971,ROUND,1.07,J,SI2,EX,EX,EX,NON,,,6.64,6.66,3.98,59.9,60,None,GIA,MED to STK,100%,Not brown,Not green,,-40.00%,2889.00,2700.00,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/b88e6f13-b397-4dfc-b9e9-61e4c2653b82.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6331380971.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
11,DR2-4D,6341018372,ROUND,1.50,D,SI1,EX,EX,EX,MED,Blue,,7.29,7.27,4.56,62.6,58,NON,GIA,MED to STK,100%,Not brown,Not green,,-47.00%,8109.00,5406.00,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/f31fed75-93ff-4e56-b787-fecd20e4cedc.jpg,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2019/11/4/6341018372.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
12,DR5-2B,6341096863,ROUND,0.41,K,VS2,EX,EX,EX,STG,Blue,,4.78,4.8,2.98,62.3,56,None,GIA,THN to MED,100%,Not brown,Not green,,-51.00%,301.35,735.00,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6341096863.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
13,CN1-34A,7306247337,PEAR,0.29,L,SI1,-,VG,VG,FNT,,,6.11,3.69,2.21,60,63,None,GIA,THN to VTK,100%,Not brown,Not green,,-36.91%,100.63,347.00,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7306247337.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
14,DR3-2A,7336948289,ROUND,3.01,F,SI2,EX,EX,EX,MED,Blue,,9.24,9.20,5.79,62.8,55,NON,GIA,MED to STK,100%,Not brown,Not green,,-42.00%,26187.00,8700.00,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/cfde4724-9a75-43aa-a6ab-64b4ad5f9e78.jpg,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2019/10/22/7336948289.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
15,DQ-8,7338890251,ROUND,2.00,D,SI1,VG,EX,VG,NON,,,8.04,7.98,4.99,62.3,59,NON,GIA,MED to STK,100%,Not brown,Not green,,-45.00%,15950.00,7975.00,,,,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2019/10/16/7338890251.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
16,DG1-1B,1328748128,HEART,2.01,D,SI1,-,EX,VG,NON,,,7.58,8.81,5.16,58.6,61,None,GIA,STK to VTK,100%,Not brown,Not green,,-39.00%,14713.20,7320.00,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/fc67aa44-58d2-4df9-a90c-6242156a4cdb.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1328748128.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
17,DJ1-4E,1339069109,PEAR,2.00,E,VS1,-,EX,VG,NON,,,10.73,7.09,4.14,58.4,62,None,GIA,THK to ETK,100%,Not brown,Not green,,-33.00%,20100.00,10050.00,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/4900309b-69e3-443a-9f87-0065ae959afb.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1339069109.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
