ID,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,actual_supplier,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble,,supplier_name
1,623409302,407999441,ROUND,0.17,F,VS2,EX,VG,VG,NON,,3.64,3.68,2.19,60,62,,IGI,Medium,100%,Not brown,Not green,Not milky,unknown,-17.33%,147.56,868,,,,,,,,
2,615000102,2337768522,ROUND,0.17,E,VS2,VG,VG,VG,NON,,3.74,3.68,2.12,57,66,NON,GIA,MED to THK,100%,Not brown,Not green,Not milky,unknown,-10.29%,160.14,942,,,,http://www.pkstone.co.in/PK/CERTI/2337768522.jpg,,,,
3,620900705,407981014,ROUND,0.17,H,VVS2,EX,EX,VG,FNT,,3.64,3.68,2.18,59.6,62.5,,IGI,Medium,100%,Light Brown,,Not milky,unknown,-26.27%,127.84,752,,,,,,,,
4,624700203,407916668,ROUND,0.17,E,VS2,EX,EX,EX,NON,,3.57,3.59,2.18,60.9,61,POINTED,IGI,MED to STK,100%,Not brown,Not green,Not milky,unknown,-17.62%,147.05,865,,,,,,,,
5,621203502,407981013,ROUND,0.17,G,VS2,VG,EX,GD,NON,,3.5,3.55,2.25,63.6,52,,IGI,Medium,100%,Not brown,Not green,Not milky,unknown,-2.32%,157.76,928,,,,,,,,
6,212006102,7331555709,ROUND,0.17,E,VS2,VG,VG,VG,FNT,,3.72,3.74,2.12,56.7,66,,GIA,Slight Thick,100%,Not brown,Not green,Not milky,unknown,-20.95%,141.1,830,,,,http://www.pkstone.co.in/PK/CERTI/7331555709.jpg,,,,
7,212200305,1339877512,ROUND,0.18,H,VVS2,EX,EX,VG,NON,,3.66,3.62,2.24,61.6,56,NON,GIA,MED to STK,100%,Light Brown,,Not milky,unknown,-31.27%,155.88,866,,,,http://www.pkstone.co.in/PK/CERTI/1339877512.jpg,,,,
8,623001402,2346718701,ROUND,0.18,F,IF,EX,EX,EX,NON,,3.73,3.71,2.18,58.7,61,NON,GIA,THN to MED,100%,Not brown,Not green,Not milky,unknown,-16.36%,210.78,1171,,,,http://www.pkstone.co.in/PK/CERTI/2346718701.jpg,,,,
9,623404002,6341780675,ROUND,0.18,I,VS1,VG,VG,GD,FNT,,3.6,3.62,2.24,61.9,55,,GIA,Thick,100%,Not brown,Not green,Not milky,unknown,-12.16%,139.14,773,,,,http://www.pkstone.co.in/PK/CERTI/6341780675.jpg,,,,
10,867509,1213041546,MARQUISE,0.18,G,VVS2,-,VG,GD,STG,Blue,5.43,2.9,1.95,67.2,57,NON,GIA,VTK to ETK,,Not brown,Not green,,unknown,-31.75%,141.28,784.89,,,,TRUE,,,,
11,358724,2244673424,ROUND,0.18,E,VVS2,EX,VG,EX,NON,,3.68,3.66,2.27,61.8,57,NON,GIA,MED to STK,100%,Not brown,Not green,,unknown,-3.40%,243.44,1352.44,,,,TRUE,,,,
12,993763,1195539670,MARQUISE,0.18,D,VVS1,-,GD,VG,NON,,5.12,2.99,1.99,66.6,60,NON,GIA,VTK to ETK,100%,Not brown,Not green,,unknown,-29.80%,163,905.56,,,,TRUE,,,,
13,623100403,6345718705,ROUND,0.18,E,VVS1,EX,VG,EX,NON,,3.69,3.66,2.21,60.3,61,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,unknown,-21.86%,196.92,1094,,,,http://www.pkstone.co.in/PK/CERTI/6345718705.jpg,,,,
14,L281032802,5343381272,ROUND,0.18,D,VS1,VG,EX,EX,FNT,,3.75,3.73,2.14,57.3,65,NON,GIA,THN to STK,100%,Not brown,Not green,Not milky,unknown,-21.69%,174.78,971,,,,http://www.pkstone.co.in/PK/CERTI/5343381272.jpg,,,,
15,L289021501,7348893055,ROUND,0.18,D,VS1,EX,EX,VG,FNT,,3.63,3.65,2.23,61.3,59,,GIA,Slight Thick,100%,Not brown,Not green,Not milky,unknown,-13.79%,192.42,1069,,,,,,,,
16,L289015201,5353022998,ROUND,0.18,H,VVS2,VG,EX,GD,MED,Blue,3.64,3.6,2.19,60.4,58,NON,GIA,ETN to THK,100%,Not brown,Not green,Not milky,unknown,-35.00%,147.42,819,,,,,,,,
17,616100903,5333806545,ROUND,0.18,G,VS2,VG,EX,VG,FNT,,3.78,3.74,2.14,57,64,NON,GIA,THN to MED,100%,Not brown,Not green,Not milky,unknown,-20.55%,157.32,874,,,,http://www.pkstone.co.in/PK/CERTI/5333806545.jpg,,,,
18,L281018402,7348339837,ROUND,0.18,D,VVS2,VG,VG,VG,NON,,3.69,3.63,2.2,60,64,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,unknown,-31.21%,173.34,963,,,,http://www.pkstone.co.in/PK/CERTI/7348339837.jpg,,,,
19,L282026602,6342381334,ROUND,0.18,G,VVS2,EX,EX,EX,NON,,3.65,3.62,2.23,61.5,58,NON,GIA,MED to STK,100%,Light Brown,,Not milky,unknown,-27.38%,164.7,915,,,,http://www.pkstone.co.in/PK/CERTI/6342381334.jpg,,,,
20,615003602,6332755775,ROUND,0.18,I,VS1,EX,VG,VG,NON,,3.69,3.64,2.22,60.5,61,NON,GIA,THN to STK,100%,Not brown,Not green,Not milky,unknown,-4.89%,150.66,837,,,,http://www.pkstone.co.in/PK/CERTI/6332755775.jpg,,,,
21,625701603,6351078292,ROUND,0.18,F,VS2,VG,EX,VG,FNT,,3.66,3.69,2.18,59.2,64,,GIA,Thick,100%,Not brown,Not green,Not milky,unknown,-30.16%,155.88,866,,,,,,,,
22,871010,6332549861,ROUND,0.18,I,SI1,EX,EX,EX,NON,,3.68,3.67,2.23,60.7,57,NON,GIA,MED to STK,,Not brown,Not green,,unknown,21.81%,157.86,877,,,,TRUE,,,,
23,253757,S3H36991,ROUND,0.18,F,VS1,GD,GD,GD,NON,,3.68,3.63,2.18,59.6,67.5,,IGI,THN - MED,100%,Not brown,Not green,,unknown,-34.68%,145.8,810,,,,TRUE,,,,
24,L289004601,6355026829,ROUND,0.18,E,VVS2,VG,VG,GD,NON,,3.63,3.57,2.18,60.5,63,NON,GIA,VTN to THK,100%,Not brown,Not green,Not milky,unknown,-27.64%,182.34,1013,,,,,,,,
