id,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,actual_supplier,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble,supplier_name,location,is_returnable,supplier_id,
1,LD200110653,6342807067,ROUND,0.3,E,VVS2,VG,EX,VG,NON,,4.22,4.24,2.64,62.3,62,None,GIA,THK,100%,Not brown,Not green,Not milky,Laxmi,-41.00%,455,1516,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/2178526c-dd89-48c9-920b-84ab7345ae84.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6342807067.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,
1,LD200110224,7346786131,ROUND,0.55,D,VS2,EX,EX,EX,NON,,5.21,5.23,3.26,62.5,58,None,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,-37.00%,1350,2453.85,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/416d8b32-fbfd-4a23-9197-1fc311493790.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7346786131.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,
,G431-138852,6351185065,ROUND,0.5,H,SI2,EX,EX,VG,NON,,5.04,5.07,3.17,62.7,55,None,GIA,MED to STK,90%,Not brown,,,Shivam Jewels,-39.35%,727,1454.96,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly9zandvcmxkaW1nLmF6dXJlZWRnZS5uZXQvc2ppbWcvaW1hZ2VzL1Zpc2lvbjM2MC5odG1sP2Q9RzQzMS0xMzg4NTI=,256,https://nivoda-images.s3.eu-west-2.amazonaws.com/12e84490-d27f-47f4-a25d-06871d017e0e.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6351185065.pdf,,,,IN,N,30e7f681-ab85-4b0e-b046-c4b9abd2ef1e,
1,HK1436398,2356041115,ROUND,0.31,I,VS2,EX,EX,EX,FNT,,4.32,4.34,2.7,62.4,59,None,GIA,MED to STK,100%,,,Not milky,Hari Krishna,-39.70%,348,1121.87,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly9kaWFtYW50aS5zMy5hbWF6b25hd3MuY29tL3ZpZGVvL1Zpc2lvbjM2MC5odG1sP2Q9SEsxNDM2Mzk4,16,https://nivoda-images.s3.eu-west-2.amazonaws.com/15f5bb97-ac3a-4d44-98f1-6b8686b0e303.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2356041115.pdf,,,,HK,N,1d8066ed-4b96-490d-9dd5-e68a649fd592,
,HK1436104,2205881228,ROUND,0.31,I,SI2,EX,EX,EX,NON,,4.32,4.34,2.68,61.9,58,None,GIA,MED to STK,90%,,,Not milky,Hari Krishna,-40.14%,290,934.84,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/10eb9471-68da-441d-86e6-b917c278270e.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2205881228.pdf,,,,HK,N,1d8066ed-4b96-490d-9dd5-e68a649fd592,
1,DU09130805817,2347955137,ROUND,0.4,J,SI1,VG,EX,VG,MED,Blue,4.63,4.57,2.97,64.5,57,NON,GIA,STK to THK,,,,,China Star ,-48.06%,362,906.05,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/1f09cc9e-3cb3-4a60-bd8e-e04730418966.jpg,,,,,HK,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568,
,323D-199-A,1339496937,ROUND,0.35,I,SI1,EX,EX,EX,NON,,4.47,4.5,2.82,62.8,56,None,GIA,MED to STK,,,,,Paladiya Brothers & co,-45.43%,316,904.26,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1339496937.pdf,,,,IN,N,e6c24977-7efd-4b1c-95c4-1aca4bed604a,
1,327C-312-A,1347853303,ROUND,0.3,H,SI1,EX,EX,EX,NON,,4.28,4.3,2.68,62.4,57,None,GIA,STK,,,,,Paladiya Brothers & co,-43.06%,303,1011.03,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1347853303.pdf,,,,IN,N,e6c24977-7efd-4b1c-95c4-1aca4bed604a,
,220-176A,7341799318,ROUND,0.32,F,IF,EX,EX,EX,MED,Blue,4.34,4.36,2.72,62.5,57,None,GIA,MED to STK,100%,,,Not milky,SHREE RAMDOOT GEMS LLP,-48.75%,456,1426.25,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7341799318.pdf,,,,IN,N,efab5e1c-0e13-411a-b955-2b734f74ce71,
,LD200110582,6341807286,ROUND,0.4,H,VS1,EX,EX,EX,NON,,4.69,4.72,2.95,62.7,56,None,GIA,MED to STK,100%,,,Not milky,Laxmi,-36.00%,593,1483,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/428f4a42-85ae-40ca-b1cc-cd160cc3c435.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6341807286.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,
