id,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,actual_supplier,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble,supplier_name,location,is_returnable,supplier_id
5100,LD20010090,1345536163,ROUND,2.02,I,SI2,EX,EX,EX,NON,,8.09,8.06,4.96,61.3,60,NON,GIA,MED to STK,90%,Not brown,Not green,Not milky,Laxmi,-35.00%,10785,5339.26,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/342624a3-4e68-4ebe-a303-df4624cd4e35.jpg,https://certifiedstone.info/certificate/LD20010090.pdf,,,,HK,N,523f5320-903b-4939-8f99-c88e0d49c77b
5101,G425-134032,2344812909,ROUND,1,J,SI2,EX,EX,VG,FNT,,6.35,6.43,3.92,61.4,59,Very Small,GIA,MED to STK,75%,Not brown,,,Shivam Jewels,-52.40%,2196,2195.55,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/45b9a7ae-60dd-4ed9-b44f-4f34c80cf3ef.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2344812909.pdf,,,,IN,N,30e7f681-ab85-4b0e-b046-c4b9abd2ef1e
5102,G107-134729,2.00E+11,ROUND,3.01,E,SI2,VG,EX,VG,NON,,9.27,9.36,5.55,59.5,59,0,HRD,MED,70%,Not brown,,,Shivam Jewels,-70.00%,14147,4699.83,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/2f09c4e3-30e7-4d2e-b73d-0ac8e9033347.jpg,,,,,IN,N,30e7f681-ab85-4b0e-b046-c4b9abd2ef1e
5103,LD20024752,7351003530,ROUND,0.21,E,VS1,EX,EX,EX,NON,,3.8,3.78,2.35,62.1,58,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,9.00%,293,1396.33,,,,,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
5104,LD20022542,6341947940,ROUND,1,I,SI1,GD,EX,EX,NON,,6.12,6.08,4.05,66.4,57,NON,GIA,VTK,100%,Not brown,Not green,Not milky,Laxmi,-49.85%,2981,2981.45,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/5136c617-4384-412d-82c0-3e485e9103e5.jpg,,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
5105,LD19120541,2347258860,ROUND,0.54,D,VVS2,EX,EX,EX,STG,Blue,5.22,5.18,3.27,62.8,55,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,-55.50%,1135,2102.56,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/d6dac322-84f1-4091-b144-9d125749a28d.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19120541.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
5106,LD20022065,6341932730,ROUND,1.01,I,SI1,F,EX,EX,NON,,5.99,5.93,4.17,70,57,NON,GIA,VTK to ETK,100%,Not brown,Not green,Not milky,Laxmi,-57.62%,2545,2519.33,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/49847969-275c-4232-a252-b581b9c8a19c.jpg,,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
5107,LD20024750,3355003304,ROUND,0.25,D,VVS2,EX,EX,EX,NON,,4.08,4.06,2.52,62,57,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,15.00%,476,1902.52,,,,,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
5108,LD20019302,1345771298,ROUND,0.34,F,VS2,EX,EX,EX,NON,,4.45,4.43,2.8,63,56,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,-35.50%,469,1378.24,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/07533752-96ba-4155-bb8e-91b511cdf527.jpg,,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
5109,LD20023042,7346968380,ROUND,0.28,E,VVS2,EX,EX,EX,NON,,4.18,4.16,2.58,61.8,57,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,10.00%,507,1812.21,,,,,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
5110,LD20022874,7348950132,PEAR,1,F,SI2,-,VG,VG,FNT,,8.81,5.39,3.47,64.3,59,NON,GIA,VTK to ETK,100%,Not brown,Not green,Not milky,Laxmi,-50.48%,2386,2385.6,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/47059a02-b876-4d7c-8088-225e4cb322d8.jpg,,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
5111,LD20024404,1343995573,EMERALD,1.01,F,VS2,-,EX,VG,FNT,,6.74,4.83,3.22,66.7,60,NON,GIA,STK to THK,100%,Not brown,Not green,Not milky,Laxmi,-57.43%,2733,2705.53,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/a0be6d52-f1a5-4562-af47-e2a7f4fbf87d.jpg,,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
5112,B9-91,6355327169,ROUND,0.35,F,VS1,EX,EX,EX,FNT,,4.52,4.53,2.77,61.2,59,None,GIA,MED to STK,100%,Not brown,,Not milky,Super Solitaire Hk Ltd,-34.10%,514,1469.63,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6355327169.pdf,,,,HK,N,3ccba1c2-3018-4066-8aaa-e73401d0c3d4
5113,LD19120946,2344273251,ROUND,0.21,E,VS1,EX,EX,EX,NON,,3.81,3.8,2.35,61.7,57,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,9.00%,293,1396.33,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/aeede53f-a12b-4631-901a-cb70bf2f264f.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19120946.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
5114,B8-200,1359326624,EMERALD,0.51,F,VVS2,-,EX,VG,VST,Blue,5.17,3.88,2.6,67.1,60,None,GIA,THK to VTK,100%,Not brown,,Not milky,Super Solitaire Hk Ltd,-55.10%,648,1271.12,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1359326624.pdf,,,,HK,N,3ccba1c2-3018-4066-8aaa-e73401d0c3d4
5115,LD20023154,5346968414,ROUND,0.6,F,SI2,EX,EX,EX,NON,,5.47,5.44,3.33,61.1,58,NON,GIA,MED,90%,Not brown,Not green,Not milky,Laxmi,-31.00%,1065,1775,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/f8844e65-65aa-4e7a-b822-970e3cd3af76.jpg,,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
5116,LD20023145,1349968094,ROUND,0.23,H,VVS2,EX,EX,EX,NON,,3.99,3.97,2.39,60,60,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,-5.00%,332,1441.48,,,,,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
5117,LD20050033,6352405219,PRINCESS,0.5,F,VS2,-,VG,VG,NON,,4.23,4.11,3.21,78.1,72,None,GIA,THK to VTK,100%,Not brown,Not green,Not milky,Laxmi,-45.00%,690,1380,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/f81fd6a9-f787-49e0-8833-3fe7a5638bf0.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6352405219.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
5118,IS-105,1288283751,ROUND,0.7,H,I2,VG,EX,VG,FNT,,5.61,5.65,3.56,63.3,58,None,GIA,MED to STK,,Not brown,,Not milky,Super Solitaire Hk Ltd,-36.11%,701,1001.26,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1288283751.pdf,,,,HK,N,3ccba1c2-3018-4066-8aaa-e73401d0c3d4
5119,9842,2205751822,ROUND,0.52,D,VVS1,EX,EX,EX,FNT,,5.23,5.21,3.16,60.6,58,NON,GIA,MED to STK,100%,,,,SHINE JEWELS,-44.35%,1542,2966.15,,,,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2019/11/25/2205751822.pdf,,,,HK,N,2bb51c57-0198-47e4-9d49-dd627fe5f008
5120,LD200110304,5343808050,ROUND,0.8,E,SI1,EX,EX,EX,FNT,,5.93,5.89,3.69,62.4,59,NON,GIA,MED to STK,90%,Not brown,Not green,Not milky,Laxmi,-29.00%,2445,3056.55,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/5f30f2e2-2cbe-4215-adbf-37e626e0a188.jpg,,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
5121,LD20025619,2357040513,ROUND,3.07,H,VS1,EX,EX,EX,MED,Blue,9.41,9.38,5.7,60.6,61,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,-48.48%,32577,10611.36,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/fa562640-5d72-4c30-8609-93c896c9566a.jpg,,,,,HK,N,523f5320-903b-4939-8f99-c88e0d49c77b
5122,LD19041404,2324502818,ROUND,0.23,D,VS2,EX,VG,VG,FNT,,3.96,3.97,2.36,59.5,60,None,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,-13.00%,308,1339.7,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2324502818.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
5123,LD20020655,407935270,ROUND,3,K,SI1,EX,EX,EX,STG,,9.13,9.19,5.76,62.8,57,POINTED,IGI,MED to STK,90%,Not brown,Not green,Not milky,Laxmi,-51.74%,12890,4296.69,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/b4f65ee4-ffa0-49d2-877d-a5d72b7b5f0a.jpg,,,,,HK,N,523f5320-903b-4939-8f99-c88e0d49c77b
5124,LD200111217,2348861150,ROUND,1.04,J,VS1,EX,EX,EX,MED,Blue,6.54,6.51,3.96,60.6,61,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,-39.79%,3530,3394.06,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/f4f0b4cd-6596-43c1-b450-69265154b2e1.jpg,,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
5125,LD19120950,5343273077,ROUND,0.26,E,VVS1,EX,EX,EX,NON,,4.09,4.08,2.54,62.1,57,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,19.00%,510,1959.88,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/a05ad033-0503-4cc0-b522-ca065c9e3f56.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19120950.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
5126,LD20021676,3345932518,ROUND,1.23,K,VVS1,EX,EX,EX,NON,,6.83,6.78,4.27,62.7,59,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,-27.42%,4392,3570.92,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/bf2ea12f-c01d-43cf-a04b-ddea13c06a69.jpg,,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
5127,LD20024239,2357007043,ROUND,1.5,F,VS1,VG,EX,EX,NON,,7.17,7.11,4.59,64.2,62,NON,GIA,THK,100%,Not brown,Not green,Not milky,Laxmi,-43.00%,10581,7054,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/355995dd-30a0-44c3-874b-7c9731405219.jpg,,,,,HK,N,523f5320-903b-4939-8f99-c88e0d49c77b
