id,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,actual_supplier,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble,supplier_name,location,is_returnable,supplier_id
15201,LD20011261,2346554407,ROUND,0.4,K,VVS1,VG,VG,VG,FNT,,4.62,4.58,2.95,64.2,57,NON,GIA,STK to THK,100%,Not brown,Not green,Not milky,Laxmi,-49.00%,397,993,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/3ff945b3-3b9b-4f67-bf7c-ca60db03ab9e.jpg,https://certifiedstone.info/certificate/LD20011261.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
15202,LD19110563,5346215137,ROUND,0.35,F,VVS1,EX,EX,EX,NON,,4.52,4.51,2.79,61.8,57,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,-15.00%,774,2210.71,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly93d3cuY2VydGlmaWVkc3RvbmUuaW5mby92aWV3ZXIvVmlzaW9uMzYwLmh0bWw/ZD1MRDE5MTEwNTYz,16,https://nivoda-images.s3.eu-west-2.amazonaws.com/d954b76b-d8c2-49e0-8b2f-7cd4afcb2825.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19110563.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
15203,LD20012210,7346576561,PEAR,0.5,E,SI1,-,VG,VG,NON,,6.7,4.39,2.85,64.9,55,NON,GIA,THN to VTK,100%,Not brown,Not green,Not milky,Laxmi,-47.00%,640,1279,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/b67f4778-431f-4f10-a615-9dcd3057814c.jpg,https://certifiedstone.info/certificate/LD20012210.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
15204,LD19067463,6332110335,CUSHION MODIFIED,0.52,I,VS1,-,VG,VG,MED,Blue,4.69,4.63,3.16,68.3,60,NON,GIA,STK to VTK,100%,Not brown,Not green,Not milky,Laxmi,-52.47%,524,1008.29,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly93d3cuY2VydGlmaWVkc3RvbmUuaW5mby92aWV3ZXIvVmlzaW9uMzYwLmh0bWw/ZD1MRDE5MDY3NDYz,16,https://nivoda-images.s3.eu-west-2.amazonaws.com/e00897cd-993e-4216-8ac0-4760fd0b26ca.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19067463.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
15205,674609,1317396588,MARQUISE,0.27,D,SI2,-,EX,VG,MED,Blue,6.5,3.44,2.13,61.8,62,NON,GIA,STK to VTK,,Not brown,Not green,,Janam Corporation Pvt Ltd,11.94%,266,984.22,,,,TRUE,,,,IN,Y,c238a51d-5b9e-40fb-ac80-7dad05bef5e5
15206,620080,7292964704,EMERALD,1.07,I,I1,-,VG,GD,FNT,,6.59,4.91,3.52,71.7,61,NON,GIA,VTK to ETK,,Not brown,Not green,,Janam Corporation Pvt Ltd,-38.61%,1683,1573.05,,,,TRUE,,,,IN,Y,c238a51d-5b9e-40fb-ac80-7dad05bef5e5
15207,896360,1267874766,MARQUISE,0.25,E,SI1,-,EX,VG,NON,,6.61,3.23,2.01,62.1,63,NON,GIA,STK to VTK,,Not brown,Not green,,Janam Corporation Pvt Ltd,0.67%,246,985.8,,,,TRUE,,,,IN,Y,c238a51d-5b9e-40fb-ac80-7dad05bef5e5
15208,LD20012210,7346576561,PEAR,0.5,E,SI1,-,VG,VG,NON,,6.7,4.39,2.85,64.9,55,NON,GIA,THN to VTK,100%,Not brown,Not green,Not milky,Laxmi,-47.00%,640,1279,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/b67f4778-431f-4f10-a615-9dcd3057814c.jpg,https://certifiedstone.info/certificate/LD20012210.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
15209,LD19067463,6332110335,CUSHION MODIFIED,0.52,I,VS1,-,VG,VG,MED,Blue,4.69,4.63,3.16,68.3,60,NON,GIA,STK to VTK,100%,Not brown,Not green,Not milky,Laxmi,-52.47%,524,1008.29,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly93d3cuY2VydGlmaWVkc3RvbmUuaW5mby92aWV3ZXIvVmlzaW9uMzYwLmh0bWw/ZD1MRDE5MDY3NDYz,16,https://nivoda-images.s3.eu-west-2.amazonaws.com/e00897cd-993e-4216-8ac0-4760fd0b26ca.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19067463.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
15210,674609,1317396588,MARQUISE,0.27,D,SI2,-,EX,VG,MED,Blue,6.5,3.44,2.13,61.8,62,NON,GIA,STK to VTK,,Not brown,Not green,,Janam Corporation Pvt Ltd,11.94%,266,984.22,,,,TRUE,,,,IN,Y,c238a51d-5b9e-40fb-ac80-7dad05bef5e5
