id,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,actual_supplier,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble,supplier_name,location,is_returnable,supplier_id
20107,916277,7206548971,ROUND,1.01,H,I2,EX,EX,EX,STG,Blue,6.41,6.37,3.97,62.1,59,NON,GIA,MED to STK,,Not brown,Not green,,Janam Corporation Pvt Ltd,-36.30%,1385,1371.15,,,,TRUE,,,,IN,Y,c238a51d-5b9e-40fb-ac80-7dad05bef5e5
20108,KQ06158365999,6341859451,ROUND,1,F,SI2,EX,EX,EX,FNT,,6.39,6.44,3.95,61.6,61,None,GIA,MED to STK,,,,,China Star ,-50.80%,2975,2975.37,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6341859451.pdf,,,,HK,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
20109,YP17066149812,7338999953,ROUND,0.6,H,SI2,EX,EX,EX,NON,,5.39,5.35,3.38,62.9,56,NON,GIA,MED to STK,90%,,,Not milky,China Star ,-36.35%,908,1513.95,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly9zdG9yYWdld2V3ZWIuYmxvYi5jb3JlLndpbmRvd3MubmV0L2ZpbGVzL0lOVkVOVE9SWURBVEEvVklTSU9OMzYwL1Zpc2lvbjM2MC5odG1sP2Q9NDI0OTU3OTg0,256,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly9zdG9yYWdld2V3ZWIuYmxvYi5jb3JlLndpbmRvd3MubmV0L2ZpbGVzL0lOVkVOVE9SWURBVEEvVklTSU9OMzYwL1Zpc2lvbjM2MC5odG1sP2Q9NDI0OTU3OTg0LWY=/0.jpg,https://www.gia.edu/UK-EN/report-check?reportno=7338999953,,,,HK,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
20110,TG06630206193,7341845296,ROUND,0.4,H,VS2,EX,EX,EX,FNT,,4.69,4.72,2.94,62.5,56,None,GIA,MED to STK,,,,,China Star ,-37.11%,558,1395.7,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7341845296.pdf,,,,HK,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
20111,SA18057578118,7341927104,ROUND,0.5,D,VS1,EX,EX,EX,NON,,5.07,5.08,3.16,62.2,58,None,GIA,MED,100%,,,,China Star ,-32.23%,1459,2917.5,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7341927104.pdf,,,,HK,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
20112,GV06630201617,7341816938,ROUND,0.5,I,VVS2,VG,EX,VG,NON,,4.89,4.95,3.19,64.8,56,None,GIA,STK to THK,100%,,,,China Star ,-49.22%,766,1532.62,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7341816938.pdf,,,,HK,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
20113,OW07779813830,7341752171,ROUND,0.3,I,VVS2,VG,EX,EX,FNT,,4.27,4.3,2.69,62.7,57,None,GIA,VTN to STK,100%,,,,China Star ,-51.41%,307,1023.2,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7341752171.pdf,,,,unknown,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
20114,LD19104200,5336910915,ROUND,0.27,D,VVS1,EX,EX,EX,NON,,4.19,4.15,2.56,61.4,60,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,19.00%,528,1955.56,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/d921de65-478d-4995-8e0f-82f679da5587.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19104200.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
20115,GV06158366820,6341949397,ROUND,0.33,D,VVS2,EX,EX,EX,NON,,4.46,4.48,2.71,60.6,61,None,GIA,MED to STK,100%,,,,China Star ,-36.29%,577,1747.36,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6341949397.pdf,,,,unknown,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
20116,486C-403-A,3345853704,ROUND,0.34,I,VVS1,EX,EX,EX,NON,,4.47,4.5,2.79,62.3,57,None,GIA,MED to STK,100%,,,,Paladiya Brothers & co,-37.98%,452,1328.65,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/3345853704.pdf,,,,IN,N,e6c24977-7efd-4b1c-95c4-1aca4bed604a
20117,486D-244-A,2347919513,ROUND,0.33,D,VVS1,EX,EX,EX,VST,Blue,4.38,4.41,2.77,63,56,None,GIA,MED to STK,100%,,,,Paladiya Brothers & co,-49.04%,501,1517.79,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2347919513.pdf,,,,HK,N,e6c24977-7efd-4b1c-95c4-1aca4bed604a
20118,LD19104136,2336910870,ROUND,0.25,D,VVS2,EX,EX,EX,NON,,4.09,4.08,2.48,60.6,60,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,15.00%,476,1902.52,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/20eb16dc-d79b-47ef-91d0-03246865e02d.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19104136.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
20119,LD19106653,2337968318,EMERALD,0.6,E,VVS2,-,EX,VG,FNT,,5.57,4.08,2.75,67.5,62,NON,GIA,STK to THK,100%,Not brown,Not green,Not milky,Laxmi,-45.00%,1020,1700,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly93d3cuY2VydGlmaWVkc3RvbmUuaW5mby92aWV3ZXIvVmlzaW9uMzYwLmh0bWw/ZD1MRDE5MTA2NjUz,16,https://nivoda-images.s3.eu-west-2.amazonaws.com/5ab3a493-8117-4318-a2d7-711918e4f051.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19106653.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
20120,TR18022231786,7358355050,ROUND,0.3,E,VS1,VG,EX,VG,NON,,4.21,4.25,2.69,63.7,56,None,GIA,MED to STK,100%,,,,China Star ,-42.50%,410,1365,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7358355050.pdf,,,,HK,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
20121,422-344-A,1355074745,ROUND,0.34,E,SI2,EX,EX,EX,NON,,4.44,4.46,2.79,62.7,56,None,GIA,MED to STK,,,,,Paladiya Brothers & co,-33.50%,392,1152.24,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1355074745.pdf,,,,IN,N,e6c24977-7efd-4b1c-95c4-1aca4bed604a
20122,LD19102386,1335886709,ROUND,0.92,K,VS2,EX,EX,EX,NON,,6.2,6.16,3.88,62.8,57,NON,GIA,MED to STK,100%,,,Not milky,Laxmi,-32.90%,2088,2269.68,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly93d3cuY2VydGlmaWVkc3RvbmUuaW5mby92aWV3ZXIvVmlzaW9uMzYwLmh0bWw/ZD1MRDE5MTAyMzg2,128,https://nivoda-images.s3.eu-west-2.amazonaws.com/767d27b2-d073-44aa-bdc7-6760ec25fb5c.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19102386.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
20123,LD200110746,5346816636,ROUND,0.4,D,VS2,EX,EX,EX,NON,,4.72,4.75,2.97,62.8,56,None,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,-34.50%,737,1843.5,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/f0f239cb-8194-44df-b969-84f435fd1e16.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/5346816636.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
