id,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,actual_supplier,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble,supplier_name,location,is_returnable,supplier_id
40511,5929-6,2356052637,ROUND,0.23,F,VVS1,EX,EX,EX,NON,,3.97,3.94,2.41,60.9,59,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Narola Gems,-22.00%,308,1339.48,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/1a849d2c-40a5-42b4-b056-130332deb214.jpg,,,,,unknown,N,e9f9f355-789c-4cb2-869a-4a02587576a7
40512,5933-19,2356262962,ROUND,1.31,J,SI1,EX,EX,EX,NON,,6.98,7.02,4.37,62.4,57,None,GIA,MED to STK,100%,Light Brown,,,Narola Gems,-48.86%,3365,2568.49,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/779b7bb9-b94f-4f1d-aa76-253f2110fda4.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2356262962.pdf,,,,IN,N,e9f9f355-789c-4cb2-869a-4a02587576a7
40513,5933-19,2356262962,ROUND,1.31,J,SI1,EX,EX,EX,NON,,6.98,7.02,4.37,62.4,57,None,GIA,MED to STK,100%,Light Brown,,,Narola Gems,-48.86%,3365,2568.49,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/779b7bb9-b94f-4f1d-aa76-253f2110fda4.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2356262962.pdf,,,,IN,N,e9f9f355-789c-4cb2-869a-4a02587576a7
40514,5929-48,1355155197,ROUND,0.23,F,IF,EX,EX,EX,NON,,3.94,3.97,2.43,61.4,57,None,GIA,MED to STK,100%,Not brown,Not green,Not milky,Narola Gems,-22.00%,308,1339.48,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/2accc9cf-0d79-4bb0-b89b-da5575c14d11.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1355155197.pdf,,,,unknown,N,e9f9f355-789c-4cb2-869a-4a02587576a7
40515,5927-155,2357395192,PRINCESS,0.52,I,VS2,-,EX,VG,NON,,4.55,4.4,3.15,71.6,73,None,GIA,STK,100%,Not brown,Not green,Not milky,Narola Gems,-46.65%,557,1071.25,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/415d3c07-313e-4523-a87e-09826335c764.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2357395192.pdf,,,,IN,N,e9f9f355-789c-4cb2-869a-4a02587576a7
40516,5928-141,1353395551,PRINCESS,0.44,D,VS1,-,EX,G,NON,,4.35,4.17,3.06,73.2,71,None,GIA,VTN to MED,100%,Not brown,Not green,Not milky,Narola Gems,-54.12%,515,1169.41,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/2d3c2320-38e0-4b00-853e-74ec1fa5e299.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1353395551.pdf,,,,IN,N,e9f9f355-789c-4cb2-869a-4a02587576a7
40517,5925-71,5356148294,ROUND,0.67,J,SI1,EX,EX,EX,FNT,,5.58,5.59,3.51,62.8,55,None,GIA,MED to STK,100%,Not brown,Not green,Not milky,Narola Gems,-37.14%,957,1427.72,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/7f5df9c9-6e7f-4cc8-a7d6-32e5ae48c2e7.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/5356148294.pdf,,,,unknown,N,e9f9f355-789c-4cb2-869a-4a02587576a7
40518,5963-3,2354241748,OVAL,0.7,J,VVS2,-,EX,VG,MED,Blue,6.85,5.02,3.15,62.6,62,None,GIA,STK to VTK,100%,Not brown,Not green,Not milky,Narola Gems,-50.91%,855,1220.91,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/b514d247-7226-4dd4-822c-536822219f16.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2354241748.pdf,,,,unknown,N,e9f9f355-789c-4cb2-869a-4a02587576a7
40519,5965-2,3355052808,ROUND,0.45,J,VVS1,EX,EX,EX,NON,,4.93,4.9,3.07,62.4,56,NON,GIA,MED to STK,100%,Light Brown,,,Narola Gems,-47.25%,505,1121.6,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/b0e9bcae-f3a0-493c-b7b5-9f183be2f06f.jpg,,,,,unknown,N,e9f9f355-789c-4cb2-869a-4a02587576a7
40520,5953-1,2357235899,ROUND,0.44,H,VS2,EX,EX,EX,FNT,,4.92,4.94,3,60.7,56,None,GIA,THN to MED,100%,Not brown,Not green,Not milky,Narola Gems,-37.97%,603,1370.84,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/dd03c5ab-ad28-40bc-a99a-93484557aaa6.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2357235899.pdf,,,,IN,N,e9f9f355-789c-4cb2-869a-4a02587576a7
